n0_3,EIGENFREQ_ALT_STUFE_5,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
14.362,16.7,9.32,10155,16.1,1996,130,1,1
5.831,9.3,11.5,4061,16.85,1995,200,1.332,1.332
6.989,12.8,7.7,364,5.23,1893,160,0.94,0.94
4.508,8.7,9.6,1289,18.43,1973,140,0.974,2.797
6.633,9.6,9,1581.8,13.52,1996,200,1.25,1.41
10.328,17.5,6.8,1357,14.68,1976,110,1.375,1.999
5.435,8.5,13.45,7436.65,18.98,1995,230,2.32,9.999
5.765,9.8,11,3221,16.33,1982,160,1.24,1.24
8.339,13.96,8.4,1855,13.22,1988,160,1,1
4.071,6.1,18.7,14700,17.9,1973,160,1.121,1.215
9.73,24.41,5.2,466,16.61,1982,200,0.949,0.945
4.588,6.48,15.95,10246.3,18.56,1990,200,1,1
4.655,7.9,13.93,5658,17.11,1979,200,1.109,1.165
4.655,7.6,13.93,5658,17.11,1979,200,1.109,1.165
4.585,6,16,11990,21.47,1991,280,1,1
4.585,5.8,16,11990,21.47,1991,280,1,1
7.646,16.6,6.8,538,10.62,1978,160,0.908,0.924
4.738,8,11.57,2475,15.18,1996,200,1.7,1.7
6.265,8.37,10.6,2802,13.95,1988,160,1.928,2
4.389,7.2,11.9,2071,13.23,1993,200,1.53,1.53
4.947,7.5,12.3,3594,15.83,1990,160,1.24,3.8
4.947,7.6,12.3,3594,15.83,1990,160,1.24,3.8
3.312,4.4,19.4,10404,16.52,1989,140,1,1.1
7.588,15.01,7.15,616,10.1,1972,160,0.89,1.977
4.208,5.08,16.2,7468,15.11,1991,200,1.04,1.1
11.65,16.9,5.49,610.6,12.22,1987,280,0.95,0.95
5.551,8.6,11,2743,15,1980,200,1.31,1.31
3.926,5.15,18.45,10684,14.76,1972,160,1.52,1.52
7.889,11.7,11.4,9373,22,1982,280,1,1
36.262,22.3,5.5,6532,13.395,1927,160,1.251,1.99
7.135,11.38,10.7,3748,13.86,1977,200,0.928,2.209
6.699,10.5,9.6,2317,15,1980,200,1.37,1.37
4.611,7.9,12.52,3373,15.93,2003,200,1,1.99
8.75,14.2,8.6,2896,17.06,1987,280,2.06,1
2.993,5.4,17,4707,15.518,1992,160,1.066,1.066
5.465,8.5,10.4,2355,16.63,1978,140,1.596,1.999
22.932,23.5,5.5,2155,11.05,1959,120,0.94,0.95
4.114,6.55,14.6,5298,17,1964,200,0.972,2.222
7.135,11.56,10.7,3748,13.86,1977,200,0.928,2.209
4.138,5.4,18.53,13621,16.65,1986,160,1.6,1.57
6.232,16,7.5,508,10.2,1980,160,1.47,1.99
5.797,8.2,12,4770,16.89,1976,200,1.25,1.25
5.642,9.1,11.5,3285,14.56,1973,160,1.534,2
4.613,9.9,12.86,3907,16.56,1994,250,1,1
6.514,9.3,10.49,3981,19.12,2001,200,2.18,1
8.243,14,10,4332,15.73,1969,200,0.94,9.99
4.066,9.75,21,29966.4,23,1935,110,1.3,1.5
4.17,7.3,14,4870,17.99,1999,200,1,1
6.36,8.99,12.03,5411.5,15.76,1979,160,1.8,NaN
4.21,5.75,14.6,6202,19,2001,120,0.848,1.111
12.959,24,4.8,310,8.58,1957,200,0.8,0.79
2.523,5.165,17.7,4625.7,18.27,1996,230,1.4,NaN
5.931,7.3,12.2,5199,16.46,1991,200,1.052,1.088
4.475,6.35,17.2,14206,20,1989,200,1.052,2.222
4.767,8.07,12,2683,14.05,1999,160,1.05,1
4.21,5.5,14.6,6202,19,2001,120,0.848,1.111
4.651,6,16.5,14269,21.96,1981,250,1,1
4.591,6.9,12.5,3280.2,15.73,2009,200,1.07,1.15
5.91,5.6,11.8,3829,13.95,1977,200,1,1.03
4.273,7.15,15.5,6893,16.14,1980,160,1.13,9.999
6.084,7.95,11.3,4058.2,16.59,1989,200,1,1
4.814,6.16,15.92,12590,20.87,2001,250,1.083,1.083
5.581,8.7,11.7,3511,14.84,1995,200,1,1
5.11,9.9,10,1510,14.27,1994,200,1,1
4.4,7.9,12,2540,15.61,1999,160,1.09,1
6.282,9.8,11.21,4495,17.8,1977,160,0.96,0.98
2.993,5.4,17,4707,15.518,1992,160,1.066,1.066
4.584,8.5,12.9,3726,15.8,1995,160,1,1
4.462,6.17,14.6,5133,14,1964,200,1.07,2.222
7.529,11.6,9.1,2437,15.47,1997,200,1,1
2.848,5.7,16.4,4304,18.1,1983,160,1.23,NaN
3.929,9,15,7656,24.168,1995,250,1,1
6.451,9,10.49,3695,18.09,2001,200,2.19,1
8.75,14.1,8.6,2896,17.06,1987,280,2.06,1
6.076,8.48,11.54,3845,14.49,1994,200,1.43,1.43
11.486,29,6.13,1024.5,13.57,2004,230,1.13,1.12
4.412,6.9,12.4,2940,15.76,2001,200,1,1
5.716,70.73,8.1,1319.35,23.15,1931,160,1.5,9.9
7.889,11.7,11.4,9373,22,1982,280,1,1
8.528,12.9,8.28,1826,13.18,1998,200,3.13,1.95
4.472,6.9,13.85,6079,20.38,2003,200,1,1
11.71,17.33,5.5,535,10.52,1975,160,1.051,1.999
4.644,6.9,13.2,5639,21.25,1995,250,1.29,1
3.262,5.2,19.24,10274,17.39,2009,160,1,1
5.797,8.1,12,4770,16.89,1976,200,1.25,1.25
6.037,8.5,11.77,4498.9,15.87,1979,200,0.999,1.028
11.324,18.5,7.72,2647.3,14.34,1937,110,1.4,NaN
6.153,17.5,9.32,1887,16.3,1996,130,1,1
3.55,5.2,17.5,7634,15.934,1983,140,0.98,1
6.145,9.1,11.21,4495,18.6,1977,160,0.96,0.98
9.797,19.25,5.7,478.57,11.6538,1970,200,0.893,1.505
4.644,6.9,13.2,5639,21.25,1995,250,1.29,1
5.955,11.25,9.6,1874,15.35,1978,140,0.98,0.98
5.59,11.7,9.9,1677.38,13.79,1977,200,1.12,3.48
6.214,8.9,11.1,3787.3,15.94,1992,200,1.89,1.62
4.651,6,16.5,14269,21.96,1981,250,1,1
20.826,21.3,7.3,1042.29,2.088,1932,160,1.38,1.38
7.108,15.7,8.82,2492,20.11,1997,250,1,1
4.316,7.1,12.2,2529,15.12,1992,160,1,1
6.214,9,11.1,3787.3,15.94,1992,200,1.89,1.62
8.407,12.9,8.28,1885,14,1998,200,3.13,1.95
4.475,6.45,17.2,14206,20,1989,200,1.052,2.222
2.834,5.4,17.7,5564,17.41,1993,160,1,1
5.964,7.3,12.2,5053,15.82,1991,200,1.052,1.088
14.234,32.8,6.5,1586,10.82,1902,120,0.66,1.999
4.273,7.05,15.5,6893,16.14,1980,160,1.13,9.999
10.056,21,6.1,715,12.6,1934,200,1.125,1.018
47.736,41.6,5.6,9155,10.08,1916,120,1.35,0.7
5.173,6.2,11.7,2662,13.1,1976,200,0.95,0.98
15.299,23.1,5.85,901,8.11,1900,200,0.68,3.04
4.594,8.37,9.6,1289,17.74,1973,140,0.974,2.797
4.654,7.9,12.5,3977,18.56,2003,200,1.1,1.99
4.412,7,12.4,2940,15.76,2001,200,1,1
4.82,6.16,15.92,12425,20.54,2001,250,1.18,1.18
15.481,19.1,5.85,901,7.92,1900,200,0.705,2.83
4.591,6.86,12.5,3280.2,15.73,2009,200,1.07,1.15
5.581,8.9,11.7,3511,14.84,1995,200,1,1
2.834,5.3,17.7,5564,17.41,1993,160,1,1
4.795,8.75,12.2,3037,14.71,1975,160,1.73,1.73
5.298,8.4,13.45,8141,21.87,1995,230,1.83,9.999
3.712,4.48,18,9926,16.93,2000,160,1,1
6.633,9.6,9,1581.8,13.52,1996,200,1.25,1.41
2.848,5.8,16.4,4304,18.1,1983,160,1.23,NaN
5.482,9.6,11,2646,14.84,1994,200,1,1
4.1,6.87,13.32,3352.4,15.634,1996,200,1.55,1
7.108,15.4,8.82,2492,20.11,1997,250,1,1
5.315,9.92,11.07,2417,14.06,2002,160,1.22,2
9.797,19.12,5.7,478.57,11.6538,1970,200,0.893,1.505
12.842,25,7.15,2384.3,13.65,1935,120,1.2,1.98
4.401,7,13.4,4660,18.41,2000,140,1,1
4.546,8.5,11.4,1976,13.97,2003,160,1,1
5.608,8.4,11.3,3462,16.66,1985,200,1.23,3.18
5.616,11.7,9.9,1677.38,13.66,1977,200,1.12,3.48
4.109,5.4,16.88,10556,19,1976,200,1.37,1.37
7.108,16.1,8.82,2492,20.11,1995,200,1,1
13.024,23,7.15,2612.3,14.54,1935,130,1.2,1.99
5.74,10.9,11.8,3829,14.79,1977,200,1,1.03
6.219,12.1,9.32,1743,14.74,1996,140,1,1
11.65,17,5.49,610.6,12.22,1987,280,0.95,0.95
6.325,11.9,7,545,14,1994,160,1.038,2
21.791,28.5,5.5,1275,7.24,1972,120,0.94,0.95
4.131,6.2,14.2,6578,23.39,1990,120,1,1
4.1,6.54,13.32,3352.4,15.634,1996,200,1.55,1
6.357,9.13,12.03,6065.2,17.68,1979,160,1.8,NaN
4.17,7.4,14,4870,17.99,1999,200,1,1
8.243,14,10,4332,15.73,1969,200,0.94,9.99
5.57,13.7,9.32,1647,17.36,1996,140,1,1
3.9,6.6,12.6,2077,13.37,1993,200,1.3,1.3
5.608,8.4,11.3,3462,16.66,1985,200,1.23,3.18
14.308,17.5,7.8,1895,6.17,1990,120,0.971,0.968
9.411,15.01,6.6,756,11.1,1975,160,0.89,1.97
7.91,11.7,9.8,3679,15.73,1992,230,1.76,NaN
6.076,8.53,11.54,3845,14.49,1994,200,1.43,1.43
3.766,5,15.3,4520.9,14.35,1985,160,1.03,1.99
3.077,6.4,12.45,1716,18.61,1995,250,1,1
3.666,9.86,16.08,6772,18.6,2009,200,1,1
5.011,11.3,11.7,2817,14.773,1981,140,1.61,4.76
3.191,9.4,12.6,1608,15.46,1989,160,1.04,1.09
3.853,6.3,12.2,1950,14.63,1983,120,1.57,4.97
6.037,8.6,11.77,4498.9,15.87,1979,200,0.999,1.028
14.839,21.4,5.3,507,7.2,1912,130,0.849,0.851
3.264,4.75,17,6204.8,17.21,1995,200,1.24,1.59
4.472,6.7,13.85,6079,20.38,1985,200,1,1
9.949,21.2,6.1,561,10.1,1934,200,1.12,1.018
5.11,10.1,10,1510,14.27,1994,200,1,1
4.613,10,12.86,3907,16.56,1994,250,1,1
10.328,18.5,7.72,2291,14.92,1931,110,1.4,NaN
11.348,29,6.13,1035.4,14.05,2004,230,1.13,1.12
6.989,12.6,7.7,364,5.23,1893,160,0.94,0.94
4.316,7.2,12.2,2529,15.12,1992,160,1,1
4.536,11.2,10,667,8,1900,140,0.8,2
3.191,9.6,12.6,1608,15.46,1989,160,1.04,1.09
4.224,5.4,16.05,7722.6,16.09,1996,250,1.04,1
3.223,5.6,19.31,10120,17.29,2008,160,1.11,1.11
